CPF;NOME;SOBRENOME;EMAIL;CEP;LOGRADOURO;NUMERO;COMPLEMENTO;DDI;DDD;PREFIXO;SUFIXO;
3757350030;Cliente Imp 1;Importado;cliente1@importado.com.br;17800000;Rua Joaquim Nabuco;400;;55;018;3521;3239;
36275686804;Cliente Imp2;Importado;cliente2@importado.com.br;15230000;RUA RUI BARBOSA;773;;55;017;3814;1361;
94088359992;Cliente Imp3;Importado;cliente3@importado.com.br;13860000;RUA VALINS;746;;55;019;3653;7158;
78188796417;Cliente Imp4;Importado;cliente4@importado.com.br;13890000;R. Mariana Vilela;280;;55;019;3642;2770;
2347675966;Cliente Imp5;Importado;cliente5@importado.com.br;13940000;Rua Gregorio Franco de Souza;10;;55;019;3382;4282;
33333654725;Cliente Imp6;Importado;cliente6@importado.com.br;18770000;RUA MARQUES DO VALE,;153;;55;014;3765;1244;
97118410020;Cliente Imp7;Importado;cliente7@importado.com.br;13525000;Rua Antonio Feijo;135;;55;019;3482;2650;
78642893397;Cliente Imp8;Importado;cliente8@importado.com.br;17120000;Avenida Domingos R. Mendes;100;;55;014;3262;3264;
97257744009;Cliente Imp9;Importado;cliente9@importado.com.br;18220000;Rua: Professor Jos  Wlademir Noronha de Oliveira;150;Bloco A;55;015;3274;1258;
30969949359;Cliente Imp10;Importado;cliente10@importado.com.br;19180000;Rua Dr. Carlos Roberto Quaio;100;;55;018;3266;1385;
50250672863;Cliente Imp11;Importado;cliente11@importado.com.br;15430000;Avenida 3;80;Casa;55;017;3889;1115;
27751134941;Cliente Imp12;Importado;cliente12@importado.com.br;14350000;Rua Mato Grosso;333;;55;016;3665;9576;
11265810206;Cliente Imp13;Importado;cliente13@importado.com.br;16310000;Avenida Dr. Acir Alves Leite;265;;55;018;3657;1235;
83237439754;Cliente Imp14;Importado;cliente14@importado.com.br;18125000;AV. ENG  ANTONIO DE CASTRO FIGUEIROA;100;EDIFICIO ANEXO;55;011;4715;7801;
18601557406;Cliente Imp15;Importado;cliente15@importado.com.br;15540000;RUA ALAGOAS;327;;55;017;3486;1373;
21674791585;Cliente Imp16;Importado;cliente16@importado.com.br;19160000;Rua Presidente Prudente;99;;55;018;3273;3439;
87450499630;Cliente Imp17;Importado;cliente17@importado.com.br;19160000;Rua Joaquim Nabuco;85;;55;018;3273;2678;
89219378701;Cliente Imp18;Importado;cliente18@importado.com.br;17410000;Rua Jos  Mendes Espinha;1;;55;014;3484;1310;
44091862721;Cliente Imp19;Importado;cliente19@importado.com.br;17430000;RUA: GETULIO VARGAS;66;PREDIO;55;014;5704;0113;
73042822583;Cliente Imp20;Importado;cliente20@importado.com.br;17430000;RUA DA TIJUCA;182;;55;019;3407;8002;
